Kode Perusahaan Tercatat;Nama Perusahaan Tercatat;Tanggal Pencatatan;Sektor;Industri;Nilai Dana Dihimpun dari IPO (dalam Jutaan);Jumlah Saham Dicatatkan;Harga IPO;Pergerakan Harga Saham Sejak Tercatat;;;;;Pertumbuhan Kinerja Keuangan 1 Tahun Sejak Tercatat;;;;Nama Profesi Penunjang;;;;Terdapat Perubahan penggunaan Dana;Terdapat Perubahan Pengendali;Terdapat Perubahan manajemen;;Pergerakan Harga Saham Sejak IPO;;;;;;Pergerakan Harga Saham Sejak IPO;;;;;23/06/23;23/07/13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Kolom Bantuan
;;;;;;;;1D;1W;1M;6M;1Y;"Aset 
(%)";"Liabilitas 
(%)";"Pendapatan 
(%)";"Laba Bersih 
(%)";Penjamin Pelaksana Emisi;Kantor Akuntan Publik;Konsultan Hukum;;;Konsultan Hukum;Konsultan Hukum;;1D;1W;1M;6M;1Y;;1D;1W;1M;6M;1Y;Last Price;Last Price;Pansus;Pansus;;Basis Data Keuangan;;Assets;;;;;; Liabilities ;;;;;;NilaiPendapatan;;;;;;ProfitLoss;;;;;;PriorEndYear
;;;;;;;;;;;;;;;;;;;;;;;;;Tanggal;Tanggal;Tanggal;Tanggal;Tanggal;;Harga;Harga;Harga;Harga;Harga;Harga;Harga;Tanggal;Kriteria;;;;2018;2019;2020;2021;2022;;2018;2019;2020;2021;2022;;2018;2019;2020;2021;2022;;2018;2019;2020;2021;2022;;CurrentYear
VKTR;PT VKTR Teknologi Mobilitas Tbk;19-Jun-23;Consumer Cyclicals;Auto Components; 875.000 ; 43.750.000.000 ; 100 ;11%;15%;30%;15%;;;;;;"SAMUEL SEKURITAS INDONESIA (IF); CIPTADANA SEKURITAS ASIA (KI); TRIMEGAH SEKURITAS INDONESIA TBK. (LG)";Y. SANTOSA & PARTNERS;TJAJO & PARTNERS;;;;;;08-Nov-22;14-Nov-22;07-Dec-22;05-May-23;07-Nov-23;; 130 ; 131 ; 125 ; 208 ; - ; 133 ; 151 ;;;;2022;;  ;  ;  ; 649.036.893.000 ; 966.235.747.000 ;;  ;  ;  ; 463.452.187.000 ; 422.827.959.000 ;;  ;  ;  ; 512.355.743.000 ; 627.880.911.000 ;;  ;  ;  ; 15.392.010.000 ; 61.883.697.000 ;;
RELF;PT Graha Mitra Asia Tbk;22-Jun-23;Properties & Real Estate;Real Estate Management & Development; 108.000 ; 5.727.800.000 ; 90 ;10%;57%;53%;-71%;;;;;;UOB KAY HIAN SEKURITAS (AI);JOACHIM ADHI PITER POLTAK & PARTNERS;ASNP LAW OFFICE;;;;;;08-Nov-22;14-Nov-22;07-Dec-22;05-May-23;07-Nov-23;; 135 ; 270 ; 240 ; 50 ; - ; 50 ; 50 ;;;;2022;;  ;  ;  ; 2.265.483.090.256 ; 2.521.415.902.502 ;;  ;  ;  ; 1.124.657.096.643 ; 875.086.698.343 ;;  ;  ;  ; 238.092.211.211 ; 264.970.806.841 ;;  ;  ;  ; 863.184.428.450 ; 3.976.498.607 ;;
AMMN;PT Amman Mineral Internasional Tbk;07-Jul-23;Basic Materials;Metals & Minerals; 10.726.314 ; 71.915.881.656 ; 1.695 ;4%;4%;69%;282%;;;;;;"BNI SEKURITAS; MANDIRI SEKURITAS";MIRAWATI SENSI IDRIS;HISWARA BUNJAMIN & TANDJUNG;;;;;;08-Nov-22;14-Nov-22;07-Dec-22;05-May-23;07-Nov-23;; 890 ; 755 ; 740 ; 730 ; - ; 715 ; 740 ;;;;2022;;  ;  ;  ; 3.122.948 ; 3.959.240 ;;  ;  ;  ; 1.267.118 ; 1.252.268 ;;  ;  ;  ; 1.826.014 ; 1.522.624 ;;  ;  ;  ; 350.606 ; 55.249 ;;
TGUK;PT Platinum Wahab Nusantara Tbk;10-Jul-23;Consumer Non-Cyclicals;Processed Foods; 117.857 ; 3.571.429.000 ; 110 ;35%;26%;-10%;-15%;;;;;;SEMESTA INDOVEST SEKURITAS;IRFAN ZULMENDRA;WARDHANA KRISTANTO LAWYERS;;;;;;08-Nov-22;14-Nov-22;07-Dec-22;05-May-23;07-Nov-23;; 450 ; 474 ; 476 ; 456 ; - ; 458 ; 454 ;;;;2022;;  ;  ;  ; 18.389.454.000.000 ; 14.076.794.000.000 ;;  ;  ;  ; 8.304.395.000.000 ; 3.594.978.000.000 ;;  ;  ;  ; 8.857.845.000.000 ; 15.269.078.000.000 ;;  ;  ;  ;-3.356.939.000.000 ;-5.536.305.000.000 ;;
WIDI;PT Widiant Jaya Krenindo Tbk;10-Jul-23;Industrials;Machinery; 40.000 ; 1.600.000.000 ; 100 ;10%;8%;40%;-56%;;;;;;ARTHA SEKURITAS INDONESIA;TJAHJADI & TAMARA;IMRAN MUNTAZ & CO LAW FIRM;;;;;;09-Nov-22;15-Nov-22;08-Dec-22;08-May-23;08-Nov-23;; 189 ; 160 ; 138 ; 135 ; - ; 118 ; 121 ;;;;2022;;  ;  ;  ; 43.261.724.289 ; 77.487.567.487 ;;  ;  ;  ; 13.936.807.665 ; 12.523.741.296 ;;  ;  ;  ; 20.436.457.449 ; 25.199.386.179 ;;  ;  ;  ; 16.557.538.470 ; 2.532.975.643 ;;
CRSN;PT Carsurin Tbk;10-Jul-23;Industrials;Professional Services; 75.000 ; 2.892.000.000 ; 125 ;14%;-10%;-7%;-2%;;;;;;NH KORINDO SEKURITAS INDONESIA;ANWAR DAN REKAN;ERY YUNASRI & PARTNERS;;;;;;09-Nov-22;15-Nov-22;08-Dec-22;08-May-23;08-Nov-23;; 270 ; 232 ; 202 ; 290 ; - ; 280 ; 282 ;;;;2022;;  ;  ;  ; 300.831.629.756 ; 453.707.374.402 ;;  ;  ;  ; 60.970.723.064 ; 95.986.888.698 ;;  ;  ;  ; 318.999.156.922 ; 339.197.903.920 ;;  ;  ;  ; 12.085.020.117 ; 20.594.943.805 ;;
GRPM;PT Graha Prima Mentari Tbk;10-Jul-23;Consumer Non-Cyclicals;Beverages; 37.080 ; 1.545.000.000 ; 120 ;-10%;-30%;-38%;-60%;;;;;;NH KORINDO SEKURITAS INDONESIA;ANWAR & REKAN;TAMBUAN & PARTNERS;;;;;;10-Nov-22;16-Nov-22;09-Dec-22;09-May-23;09-Nov-23;; 135 ; 282 ; 131 ; 50 ; - ; 50 ; 50 ;;;;2022;;  ;  ;  ; 329.902.762.807 ; 725.692.783.902 ;;  ;  ;  ; 260.875.395.425 ; 213.753.310.552 ;;  ;  ;  ; 176.252.035.914 ; 194.958.239.203 ;;  ;  ;  ; 2.919.598.214 ; 5.768.874.815 ;;
INET;PT Sinergi Inti Andalan Prima Tbk;24-Jul-23;Infrastructures;Telecommunication Service; 151.500 ; 7.500.000.000 ; 101 ;35%;100%;84%;-31%;;;;;;SHINHAN SEKURITAS INDONESIA;MORHAN DAN REKAN;HANAFIAH PONGGAWA & PARTNERS;;;;;;10-Nov-22;16-Nov-22;09-Dec-22;09-May-23;09-Nov-23;; 320 ; 282 ; 226 ; 184 ; - ; 170 ; 184 ;;;;2022;;  ;  ;  ; 1.386.110.796.326 ; 1.418.281.973.953 ;;  ;  ;  ; 715.860.071.419 ; 720.333.916.496 ;;  ;  ;  ; 208.586.716.084 ; 161.712.083.774 ;;  ;  ;  ; 52.120.151.156 ; 28.154.823.508 ;;
MAHA;PT Mandiri Herindo Adiperkasa Tbk;25-Jul-23;Energy;Coal; 491.588 ; 16.666.000.000 ; 118 ;35%;132%;114%;;;;;;;TRIMEGAH SEKURITAS INDONESIA TBK;PURWANTONO SUNGKORO & SURJA;ASSEGAF HAMZAH & PARTNERS;;;;;;05-Dec-22;09-Dec-22;04-Jan-23;31-May-23;04-Dec-23;; 69 ; 47 ; 46 ; 31 ; - ; 29 ; 29 ;;;;2022;;  ;  ;  ; 19.364.366.094 ; 50.428.003.298 ;;  ;  ;  ; 4.252.800.316 ; 4.848.904.680 ;;  ;  ;  ; 6.531.239.273 ; 19.848.779.617 ;;  ;  ;  ; 325.974.961 ; 1.806.830.970 ;;
RMKO;PT Royaltama Mulia Kontraktorindo Tbk;31-Jul-23;Energy;Coal; 112.500 ; 1.250.000.000 ; 450 ;24%;21%;-17%;;;;;;;VICTORIA SEKURITAS INDONESIA;GIDEON ADI DAN REKAN;ALDJUFRI GILL PRISCILLA RIZKI (AGPR);;;;;;06-Dec-22;12-Dec-22;05-Jan-23;05-Jun-23;05-Dec-23;; 256 ; 242 ; 324 ; 246 ; - ; 262 ; 214 ;;;;2022;;  ;  ;  ; 109.267.361.311 ; 196.865.021.190 ;;  ;  ;  ; 82.869.793.955 ; 33.869.925.821 ;;  ;  ;  ; 181.842.177.291 ; 175.093.687.358 ;;  ;  ;  ; 25.044.692.169 ; 23.668.084.521 ;;
CNMA;PT Nusantara Sejahtera Raya Tbk;02-Aug-23;Consumer Cyclicals;Tourism & Recreation; 2.250.450 ; 83.345.000.000 ; 270 ;17%;14%;1%;;;;;;;"INDO PREMIER SEKURITAS; J.P. MORGAN SEKURITAS INDONESIA; MANDIRI SEKURITAS";SIDDHARTA WIDJAJA & REKAN (A MEMBER FIRM OF KPMG INTERNATIONAL);HADIPUTRANTO, HADINOTO & PARTNERS;;;;;;08-Dec-22;14-Dec-22;06-Jan-23;07-Jun-23;07-Dec-23;; 110 ; 110 ; 244 ; 81 ; - ; 98 ; 60 ;;;;2022;;  ;  ;  ; 199.493.522.001 ; 360.024.694.168 ;;  ;  ;  ; 150.360.479.714 ; 218.736.768.572 ;;  ;  ;  ; 701.091.248.818 ; 700.938.992.980 ;;  ;  ;  ; 4.379.330.626 ; 4.473.510.034 ;;
FOLK;PT Multi Garam Utama Tbk;07-Aug-23;Industrials;Multi-sector Holdings; 57.000 ; 3.948.133.300 ; 100 ;13%;-15%;-27%;;;;;;;"KGI SEKURITAS INDONESIA; SAMUEL SEKURITAS INDONESIA";KANAKA PURADIREDJA, SUHARTONO;-;;;;;;09-Dec-22;15-Dec-22;06-Jan-23;08-Jun-23;08-Dec-23;; 87 ; 71 ; 112 ; 30 ; - ; 24 ; 18 ;;;;2022;;  ;  ;  ; 28.792.833.714 ; 196.020.966.862 ;;  ;  ;  ; 22.611.117.168 ; 28.350.728.689 ;;  ;  ;  ; 16.410.814.836 ; 20.933.090.413 ;;  ;  ;  ; 3.043.696 ; 1.457.739.530 ;;
HBAT;PT Minahasa Membangun Hebat Tbk;07-Aug-23;Properties & Real Estate;Real Estate Management & Development; 26.000 ; 1.040.740.800 ; 108 ;-9%;-38%;-49%;;;;;;;LOTUS ANDALAN SEKURITAS;DRA. SUHARTATI DAN REKAN;KJPP SYARIF ENDANG DAN REKAN;;;;;;15-Dec-22;21-Dec-22;13-Jan-23;14-Jun-23;14-Dec-23;; 396 ; 402 ; 424 ; 362 ; - ; 286 ; 272 ;;;;2022;;  ;  ;  ; 241.963.014.576 ; 736.067.208.271 ;;  ;  ;  ; 208.802.698.847 ; 343.443.616.468 ;;  ;  ;  ; 23.405.795.806 ; 50.101.480.644 ;;  ;  ;  ; 1.208.369.547 ; 1.249.365.384 ;;
ERAL;PT Sinar Eka Selaras Tbk;08-Aug-23;Consumer Cyclicals;Specialty Retail; 404.625 ; 5.187.500.000 ; 390 ;3%;-6%;-5%;;;;;;;"MIRAE ASSET SEKURITAS INDONESIA; BNI SEKURITAS";PURWANTONO SUNGKORO & SURJA;NASOETION & ATYANTO;;;;;;06-Jan-23;12-Jan-23;03-Feb-23;05-Jul-23;05-Jan-24;; 258 ; 274 ; 366 ; - ; - ; 334 ; 326 ;;;;2023;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;
CYBR;PT ITSEC Asia Tbk;08-Aug-23;Technology;IT Services & Consulting; 100.873 ; 6.449.574.702 ; 100 ;35%;132%;66%;;;;;;;MIRAE ASSET SEKURITAS INDONESIA;MORHAN & REKAN;GENIO ATYANTO & PARTNERS;;;;;;06-Jan-23;12-Jan-23;03-Feb-23;05-Jul-23;05-Jan-24;; 99 ; 70 ; 45 ; - ; - ; 25 ; 26 ;;;;2023;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;
PPRI;PT Paperocks Indonesia Tbk;08-Aug-23;Basic Materials;Containers & Packaging; 38.500 ; 1.075.000.000 ; 140 ;-15%;-45%;-41%;;;;;;;INDO CAPITAL SEKURITAS;TANUBRATA SUTANTO FAHMI BAMBANG DAN REKAN;ADAMS & CO. COUNSELLORS-AT-LAW;;;;;;06-Jan-23;12-Jan-23;03-Feb-23;05-Jul-23;05-Jan-24;; 112 ; 169 ; 136 ; - ; - ; 143 ; 130 ;;;;2023;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;
GRIA;PT Ingria Pratama Capitalindo Tbk;08-Aug-23;Properties & Real Estate;Real Estate Management & Development; 207.000 ; 7.375.720.674 ; 120 ;-2%;-2%;-5%;;;;;;;ERDIKHA ELIT SEKURITAS;PAUL HADIWINATA, HIDAJAT, ARSONO, RETNO, PALILINGAN & REKAN;ARIFIN, PURBA & FIRMANSYAH LAW FIRM;;;;;;06-Jan-23;12-Jan-23;03-Feb-23;05-Jul-23;05-Jan-24;; 149 ; 179 ; 149 ; - ; - ; 132 ; 131 ;;;;2023;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;
LMAX;PT Lupromax Pelumas Indonesia Tbk;09-Aug-23;Consumer Cyclicals;Auto Components; 39.000 ; 650.000.000 ; 200 ;10%;46%;0%;;;;;;;SHINHAN SEKURITAS INDONESIA;MAURICE GANDA NAINGGOLAN DAN REKAN;JURNALIS & PONTO LAW FIRM;;;;;;09-Jan-23;13-Jan-23;08-Feb-23;07-Jul-23;08-Jan-24;; 300 ; 302 ; 296 ; - ; - ; 284 ; 280 ;;;;2023;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;
HUMI;PT Humpuss Maritim Internasional Tbk;09-Aug-23;Energy;Oil & Gas; 270.700 ; 18.046.450.000 ; 100 ;2%;51%;89%;;;;;;;RELIANCE SEKURITAS INDONESIA TBK;PURWANTONO, SUNGKORO & SURJA;ERY YUNASRI & PARTNERS;;;;;;09-Jan-23;13-Jan-23;08-Feb-23;07-Jul-23;08-Jan-24;; 145 ; 159 ; 90 ; - ; - ; 50 ; 50 ;;;;2023;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;
MUTU;PT Mutuagung Lestari Tbk;09-Aug-23;Industrials;Professional Services; 101.829 ; 3.142.857.200 ; 108 ;34%;23%;69%;;;;;;;TRIMEGAH SEKURITAS INDONESIA TBK;PAUL HADIWINATA, HIDAJAT, ARSONO, RETNO, PALILINGAN & REKAN;NURHADIAN KARTOHADIPRODJO NOORCAHYO (NKN LEGAL);;;;;;10-Jan-23;16-Jan-23;09-Feb-23;07-Jul-23;09-Jan-24;; 174 ; 302 ; 368 ; - ; - ; 605 ; 545 ;;;;2023;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;
MSIE;PT Multisarana Intan Eduka Tbk;10-Aug-23;Properties & Real Estate;Real Estate Management & Development; 36.000 ; 1.460.000.000 ; 100 ;-10%;-40%;-58%;;;;;;;MNC SEKURITAS;KANAKA PURADIREDJA, SUHARTONO;IMRAN MUMTAZ & CO.;;;;;;11-Jan-23;17-Jan-23;10-Feb-23;10-Jul-23;10-Jan-24;; 170 ; 113 ; 65 ; - ; - ; 43 ; 51 ;;;;2023;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;
RSCH;PT Charlie Hospital Semarang Tbk;28-Aug-23;Healthcare;Healthcare Providers; 60.950 ; 2.650.000.000 ; 115 ;14%;16%;5%;;;;;;;SHINHAN SEKURITAS INDONESIA;DRA. SUHARTATI & REKAN;WARDHANA KRISTANTO;;;;;;24-Jan-23;30-Jan-23;23-Feb-23;21-Jul-23;23-Jan-24;; 200 ; 220 ; 196 ; - ; - ; 171 ; 171 ;;;;2023;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;
BABY;PT Multitrend Indo Tbk;07-Sep-23;Consumer Cyclicals;Specialty Retail; 142.044 ; 2.668.586.400 ; 266 ;9%;-2%;2%;;;;;;;UOB KAY HIAN SEKURITAS;KANAKA PURADIREDJA, SUHARTONO;KONSULTAN TUMBUAN & PARTNERS;;;;;;27-Jan-23;02-Feb-23;24-Feb-23;26-Jul-23;26-Jan-24;; 135 ; 141 ; 244 ; - ; - ; 109 ; 83 ;;;;2023;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;
AEGS;PT Anugerah Spareparts Sejahtera Tbk;11-Sep-23;Consumer Cyclicals;Auto Components; 40.000 ; 1.006.000.000 ; 100 ;-5%;-32%;-41%;;;;;;;SHINHAN SEKURITAS INDONESIA;MAURICE GANDA NAINGGOLAN DAN REKAN;KANTOR HUKUM BAMBANG SUGENG;;;;;;01-Feb-23;07-Feb-23;28-Feb-23;31-Jul-23;31-Jan-24;; 159 ; 120 ; 110 ; - ; - ; 51 ; 54 ;;;;2023;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;
IOTF;PT Sumber Sinergi Makmur Tbk;06-Oct-23;Technology;Electronic Equipment, Instruments & Components; 110.000 ; 5.280.000.000 ; 100 ;35%;5%;9%;;;;;;;SHINHAN SEKURITAS INDONESIA;DOLI, BAMBANG, SULISTIYANTO, DADANG & ALI;IMRAN MUNTAZ & CO (“IMCO”);;;;;;06-Feb-23;10-Feb-23;03-Mar-23;04-Aug-23;05-Feb-24;; 90 ; 72 ; 97 ; - ; - ; 95 ; 52 ;;;;2023;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;
KOCI;PT Kokoh Exa Nusantara Tbk;06-Oct-23;Properties & Real Estate;Real Estate Management & Development; 54.000 ; 4.415.590.000 ; 120 ;-30%;-43%;-58%;;;;;;;PANCA GLOBAL SEKURITAS;HLB HADORI SUGIARTO ADI DAN REKAN;WARDHANA KRISTANTO LAWYERS;;;;;;07-Feb-23;13-Feb-23;06-Mar-23;04-Aug-23;06-Feb-24;; 103 ; 94 ; 92 ; - ; - ; 169 ; 121 ;;;;2023;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;
PTPS;PT Pulau Subur Tbk;09-Oct-23;Consumer Cyclicals;Agricultural Products; 89.100 ; 2.167.500.000 ; 198 ;-35%;-47%;-30%;;;;;;;NH KORINDO SEKURITAS INDONESIA;"JIMMY BUDHI & REKAN
";NUGROHO, PANJAITAN & PARTNERS;;;;;;08-Feb-23;14-Feb-23;07-Mar-23;07-Aug-23;07-Feb-24;; 101 ; 108 ; 99 ; - ; - ; 76 ; 73 ;;;;2023;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;
BREN;PT Barito Renewables Energy Tbk;09-Oct-23;Infrastructures;Electric Utilities; 3.131.700 ; 133.786.220.000 ; 780 ;25%;203%;464%;;;;;;;BNI SEKURITAS;TANUDIREDJA, WIBISANA, RINTIS & REKAN (FIRMA ANGGOTA JARINGAN GLOBAL PWC);ASSEGAF, HAMZAH & PARTNERS;;;;;;08-Feb-23;14-Feb-23;07-Mar-23;07-Aug-23;07-Feb-24;; 117 ; 119 ; 117 ; - ; - ; 119 ; 104 ;;;;2023;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;
STRK;PT Lovina Beach Brewery Tbk;10-Oct-23;Consumer Non-Cyclicals;Beverages; 118.000 ; 10.721.709.000 ; 100 ;35%;128%;210%;;;;;;;ARTHA SEKURITAS INDONESIA;TJAHJADI & TAMARA;IMRAN MUNTAZ & CO LAW FIRM;;;;;;08-Feb-23;14-Feb-23;07-Mar-23;07-Aug-23;07-Feb-24;; 146 ; 102 ; 108 ; - ; - ; 252 ; 214 ;;;;2023;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;
LOPI;PT Logisticsplus International Tbk;11-Oct-23;Transportation & Logistic;Logistics & Deliveries; 30.000 ; 1.100.000.000 ; 100 ;-10%;-14%;-30%;;;;;;;ELIT SUKSES SEKURITAS;JAMALUDIN, ARDI, SUKIMTO & REKAN;ASNP LAW OFFICE;;;;;;08-Feb-23;14-Feb-23;07-Mar-23;07-Aug-23;07-Feb-24;; 176 ; 230 ; 675 ; - ; - ; 1.370 ; 1.375 ;;;;2023;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;
KOKA;PT Koka Indonesia Tbk;11-Oct-23;Infrastructures;Heavy Constructions & Civil Engineering; 91.563 ; 2.861.333.000 ; 128 ;33%;-13%;-52%;;;;;;;UOB KAY HIAN SEKURITAS;HADORI SUGIARTO ADI & REKAN;WARENS & PARTNERS LAW FIRM;;;;;;16-Feb-23;22-Feb-23;15-Mar-23;15-Aug-23;15-Feb-24;; 117 ; 115 ; 172 ; - ; - ; 250 ; 194 ;;;;2023;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;
UDNG;PT Agro Bahari Nusantara Tbk;31-Oct-23;Consumer Non-Cyclicals;Agricultural Products; 50.000 ; 1.750.000.000 ; 100 ;10%;-5%;20%;;;;;;;"MNC SEKURITAS; KB VALBURY SEKURITAS";GIDEON ADI & REKAN;GENIO ATYANTO & PARTNERS;;;;;;24-Feb-23;02-Mar-23;21-Mar-23;23-Aug-23;23-Feb-24;; 875 ; 870 ; 800 ; - ; - ; 880 ; 775 ;;;;2023;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;
IKPM;PT Ikapharmindo Putramas Tbk;08-Nov-23;Healthcare;Pharmaceuticals; 55.594 ; 1.684.662.500 ; 165 ;10%;5%;16%;;;;;;;OCBC SEKURITAS INDONESIA;KANAKA PURADIREDJA, SUHARTONO;ARMAND YAPSUNTO MUHARAMSYAH & PARTNERS;;;;;;27-Feb-23;03-Mar-23;24-Mar-23;25-Aug-23;26-Feb-24;; 100 ; 142 ; 121 ; - ; - ; 50 ; 50 ;;;;2023;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;
MSTI;PT Mastersystem Infotama Tbk;08-Nov-23;Technology;Networking Equipment; 637.966 ; 3.138.823.600 ; 1.355 ;7%;2%;0%;;;;;;;INDO PREMIER SEKURITAS;MIRAWATI SENSI IDRIS;ASSEGAF HAMZAH & PARTNERS;;;;;;01-Mar-23;07-Mar-23;31-Mar-23;31-Aug-23;29-Feb-24;; 1.330 ; 1.580 ; 2.020 ; - ; - ; 2.580 ; 2.660 ;;;;2023;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;
RGAS;PT Kian Santang Muliatama Tbk;08-Nov-23;Energy;Oil, Gas & Coal Supports; 40.104 ; 1.459.200.000 ; 120 ;4%;-8%;-13%;;;;;;;ERDIKHA ELIT SEKURITAS;MENNIX & REKAN;ASET LAW FIRM;;;;;;03-Mar-23;09-Mar-23;31-Mar-23;01-Sep-23;01-Mar-24;; 230 ; 258 ; 256 ; - ; - ; 314 ; 356 ;;;;2023;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;
AYAM;PT Janu Putra Sejahtera Tbk;30-Nov-23;Consumer Non-Cyclicals;Agricultural Products; 80.000 ; 4.000.000.000 ; 100 ;35%;11%;10%;;;;;;;UOB KAY HIAN SEKURITAS;JAMALUDIN, ARDI, SUKIMTO & REKAN;ANRA & PARTNERS;;;;;;06-Mar-23;10-Mar-23;05-Apr-23;05-Sep-23;05-Mar-24;; 143 ; 136 ; 212 ; - ; - ; 92 ; 107 ;;;;2023;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;
SURI;PT Maja Agung Latexindo Tbk;07-Dec-23;Healthcare;Healthcare Equipment & Supplies; 215.369 ; 6.334.375.000 ; 170 ;-5%;-4%;-1%;;;;;;;SHINHAN SEKURITAS INDONESIA;MORHAN DAN REKAN;HANAFIAH PONGGAWA & PARTNERS;;;;;;08-Mar-23;14-Mar-23;06-Apr-23;07-Sep-23;07-Mar-24;; 274 ; 660 ; 900 ; - ; - ; 870 ; 970 ;;;;2023;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;
;;;;;;;;;;;;;;;;;;;;;;;;;08-Mar-23;14-Mar-23;06-Apr-23;07-Sep-23;07-Mar-24;; 135 ; 140 ; 372 ; - ; - ; 50 ; 50 ;;;;2023;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;
;;;;;;;;;;;;;;;;;;;;;;;;;08-Mar-23;14-Mar-23;06-Apr-23;07-Sep-23;07-Mar-24;; 236 ; 270 ; 276 ; - ; - ; 262 ; 296 ;;;;2023;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;
;;;;;;;;;;;;;;;;;;;;;;;;;10-Mar-23;16-Mar-23;06-Apr-23;08-Sep-23;08-Mar-24;; 135 ; 131 ; 145 ; - ; - ; 199 ; 208 ;;;;2023;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;
;;;;;;;;;;;;;;;;;;;;;;;;;30-Mar-23;05-Apr-23;28-Apr-23;29-Sep-23;29-Mar-24;; 202 ; 278 ; 266 ; - ; - ; 342 ; 356 ;;;;2023;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;
;;;;;;;;;;;;;;;;;;;;;;;;;05-Apr-23;12-Apr-23;04-May-23;04-Oct-23;04-Apr-24;; 154 ; 175 ; 436 ; - ; - ; 258 ; 136 ;;;;2023;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;
;;;;;;;;;;;;;;;;;;;;;;;;;10-Apr-23;14-Apr-23;09-May-23;09-Oct-23;09-Apr-24;; 141 ; 168 ; 106 ; - ; - ; 55 ; 54 ;;;;2023;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;;
